wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster
MLB,2024-09-05 09:04,2024-09-07 08:00,2024-09-05 09:04,202409060800,RP,C,S,24,EXT,FLZ159,386.3283996582031,2024-09-06 06:04,,,,,False,,,,,,,202409050904-KMLB-WHUS42-CFWMLB,
MLB,2024-09-05 09:04,2024-09-07 08:00,2024-09-05 09:04,202409060800,RP,C,S,24,EXT,FLZ164,359.5745544433594,2024-09-06 06:04,,,,,False,,,,,,,202409050904-KMLB-WHUS42-CFWMLB,
JAX,2024-08-15 09:00,2024-08-19 07:47,2024-08-15 05:16,202408190000,RP,C,S,19,CAN,FLZ125,918.8072509765625,2024-08-19 07:47,,,,,False,,,,,,,202408150516-KJAX-WHUS42-CFWJAX,
JAX,2024-08-15 09:00,2024-08-19 07:47,2024-08-15 05:16,202408190000,RP,C,S,19,CAN,FLZ133,680.9476928710938,2024-08-19 07:47,,,,,False,,,,,,,202408150516-KJAX-WHUS42-CFWJAX,
JAX,2024-08-15 09:00,2024-08-19 07:47,2024-08-15 05:16,202408190000,RP,C,S,19,CAN,FLZ138,146.872802734375,2024-08-19 07:47,,,,,False,,,,,,,202408150516-KJAX-WHUS42-CFWJAX,
MLB,2024-09-05 09:04,2024-09-07 08:00,2024-09-05 09:04,202409060800,RP,C,S,24,EXT,FLZ447,446.071044921875,2024-09-06 06:04,,,,,False,,,,,,,202409050904-KMLB-WHUS42-CFWMLB,
JAX,2024-09-05 06:19,2024-09-05 09:14,2024-09-05 06:19,202409050930,FA,C,Y,286,CAN,FLC031,2169.6953125,2024-09-05 09:14,00000,N,ER,OO,False,,,,,,,202409050619-KJAX-WGUS82-FLSJAX,DUBOIS
JAX,2024-09-05 06:19,2024-09-05 09:14,2024-09-05 06:19,202409050930,FA,C,Y,286,CAN,FLC109,1702.60009765625,2024-09-05 09:14,00000,N,ER,OO,False,,,,,,,202409050619-KJAX-WGUS82-FLSJAX,DUBOIS
JAX,2024-09-09 10:39,2024-09-09 12:45,2024-09-09 10:39,202409091245,FA,C,Y,311,NEW,FLC089,1699.857177734375,2024-09-09 10:39,00000,N,ER,OO,False,,,,,,,202409091039-KJAX-WGUS82-FLSJAX,HESS
MFL,2024-08-30 15:11,2024-08-30 15:30,2024-08-30 15:11,202408301530,SV,C,W,80,NEW,FLC011,3161.671630859375,2024-08-30 15:11,,,,,False,,,,,,,202408301511-KMFL-WUUS52-SVRMFL,CWC
MFL,2024-08-30 15:11,2024-08-30 15:30,2024-08-30 15:11,202408301530,SV,C,W,80,NEW,FLC086,5094.58447265625,2024-08-30 15:11,,,,,False,,,,,,,202408301511-KMFL-WUUS52-SVRMFL,CWC
TAE,2024-08-30 15:29,2024-08-31 04:00,2024-08-30 15:29,202408310400,RP,C,S,73,CON,FLZ108,535.8626708984375,2024-08-30 18:22,,,,,False,,,,,,,202408301529-KTAE-WHUS42-CFWTAE,
MLB,2024-09-10 21:29,2024-09-10 23:30,2024-09-10 21:29,202409102330,FA,C,Y,107,EXP,FLC095,2604.07568359375,2024-09-10 23:27,00000,N,ER,OO,False,,,,,,,202409102129-KMLB-WGUS82-FLSMLB,Heil
JAX,2024-09-10 22:41,2024-09-11 03:30,2024-09-10 22:41,202409110030,FA,C,Y,318,EXT,FLC031,2169.6953125,2024-09-11 01:55,00000,N,ER,OO,False,,,,,,,202409102241-KJAX-WGUS82-FLSJAX,CRUZ
TAE,2024-09-06 20:31,2024-09-06 23:30,2024-09-06 20:31,202409062330,FA,C,Y,194,NEW,FLC073,1819.5731201171875,2024-09-06 20:31,00000,N,ER,OO,False,,,,,,,202409062031-KTAE-WGUS82-FLSTAE,MM
MLB,2024-09-09 20:13,2024-09-09 23:15,2024-09-09 20:13,202409092315,FA,C,Y,105,NEW,FLC061,1336.3253173828125,2024-09-09 20:13,00000,N,ER,OO,False,,,,,,,202409092013-KMLB-WGUS82-FLSMLB,REH
